PK,지역,날짜,일일 확진자,누적 확진자,일일 사망자,누적 사망자,일일 완치자,누적 완치자,사망률,완치율,인구수,발생률,데이터
1,강원,2020-02-17,0,0,0,0,0,0,0,0,1540540,0,corona_board_kr
2,강원,2020-02-18,0,0,0,0,0,0,0,0,1540540,0,corona_board_kr
3,강원,2020-02-19,0,0,0,0,0,0,0,0,1540540,0,corona_board_kr
4,강원,2020-02-20,1,1,0,0,0,0,0,0,1540540,0.1,corona_board_kr
5,강원,2020-02-21,0,1,0,0,0,0,0,0,1540540,0.1,corona_board_kr
6,강원,2020-02-22,5,6,0,0,0,0,0,0,1540540,0.4,corona_board_kr
7,강원,2020-02-23,0,6,0,0,0,0,0,0,1540540,0.4,corona_board_kr
8,강원,2020-02-24,0,6,0,0,0,0,0,0,1540540,0.4,corona_board_kr
9,강원,2020-02-25,0,6,0,0,0,0,0,0,1540540,0.4,corona_board_kr
10,강원,2020-02-26,0,6,0,0,0,0,0,0,1540540,0.4,corona_board_kr
11,강원,2020-02-27,0,6,0,0,0,0,0,0,1540540,0.4,corona_board_kr
12,강원,2020-02-28,1,7,0,0,0,0,0,0,1540540,0.5,corona_board_kr
13,강원,2020-02-29,0,7,0,0,0,0,0,0,1540540,0.5,corona_board_kr
14,강원,2020-03-01,8,15,0,0,0,0,0,0,1540540,1,corona_board_kr
15,강원,2020-03-02,4,19,0,0,0,0,0,0,1540540,1.2,corona_board_kr
16,강원,2020-03-03,1,20,0,0,0,0,0,0,1540540,1.3,corona_board_kr
17,강원,2020-03-04,1,21,0,0,0,0,0,0,1540540,1.4,corona_board_kr
18,강원,2020-03-05,2,23,0,0,3,3,0,13.043,1540540,1.5,corona_board_kr
19,강원,2020-03-06,2,25,0,0,0,3,0,12,1540540,1.6,corona_board_kr
20,강원,2020-03-07,1,26,1,1,0,3,3.846153846,11.538,1540540,1.7,corona_board_kr
21,강원,2020-03-08,1,27,0,1,0,3,3.703703704,11.111,1540540,1.8,corona_board_kr
22,강원,2020-03-09,1,28,0,1,0,3,3.571428571,10.714,1540540,1.8,corona_board_kr
23,강원,2020-03-10,0,28,0,1,3,6,3.571428571,21.429,1540540,1.8,corona_board_kr
24,강원,2020-03-11,1,29,0,1,0,6,3.448275862,20.69,1540540,1.9,corona_board_kr
25,강원,2020-03-12,0,29,0,1,0,6,3.448275862,20.69,1540540,1.9,corona_board_kr
26,강원,2020-03-13,0,29,0,1,0,6,3.448275862,20.69,1540540,1.9,corona_board_kr
27,강원,2020-03-14,0,29,0,1,0,6,3.448275862,20.69,1540540,1.9,corona_board_kr
28,강원,2020-03-15,0,29,0,1,1,7,3.448275862,24.138,1540540,1.9,corona_board_kr
29,강원,2020-03-16,0,29,0,1,0,7,3.448275862,24.138,1540540,1.9,corona_board_kr
30,강원,2020-03-17,0,29,0,1,1,8,3.448275862,27.586,1540540,1.9,corona_board_kr
31,강원,2020-03-18,1,30,0,1,0,8,3.333333333,26.667,1540540,1.9,corona_board_kr
32,강원,2020-03-19,0,30,0,1,1,9,3.333333333,30,1540540,1.9,corona_board_kr
33,강원,2020-03-20,0,30,0,1,1,10,3.333333333,33.333,1540540,1.9,corona_board_kr
34,강원,2020-03-21,0,30,0,1,2,12,3.333333333,40,1540540,1.9,corona_board_kr
35,강원,2020-03-22,0,30,0,1,1,13,3.333333333,43.333,1540540,1.9,corona_board_kr
36,강원,2020-03-23,0,30,0,1,1,14,3.333333333,46.667,1540540,1.9,corona_board_kr
37,강원,2020-03-24,0,30,0,1,0,14,3.333333333,46.667,1540540,1.9,corona_board_kr
38,강원,2020-03-25,1,31,0,1,1,15,3.225806452,48.387,1540540,2,corona_board_kr
39,강원,2020-03-26,0,31,0,1,3,18,3.225806452,58.065,1540540,2,corona_board_kr
40,강원,2020-03-27,0,31,0,1,2,20,3.225806452,64.516,1540540,2,corona_board_kr
41,강원,2020-03-28,1,32,0,1,0,20,3.125,62.5,1540540,2.1,corona_board_kr
42,강원,2020-03-29,2,34,0,1,1,21,2.941176471,61.765,1540540,2.2,corona_board_kr
43,강원,2020-03-30,2,36,0,1,0,21,2.777777778,58.333,1540540,2.3,corona_board_kr
44,강원,2020-03-31,0,36,0,1,2,23,2.777777778,63.889,1540540,2.3,corona_board_kr
45,강원,2020-04-01,2,38,0,1,0,23,2.631578947,60.526,1540540,2.5,corona_board_kr
46,강원,2020-04-02,1,39,0,1,0,23,2.564102564,58.974,1540540,2.5,corona_board_kr
47,강원,2020-04-03,2,41,0,1,0,23,2.43902439,56.098,1540540,2.7,corona_board_kr
48,강원,2020-04-04,1,42,0,1,0,23,2.380952381,54.762,1540540,2.7,corona_board_kr
49,강원,2020-04-05,3,45,0,1,1,24,2.222222222,53.333,1540540,2.9,corona_board_kr
50,강원,2020-04-06,0,45,0,1,-1,23,2.222222222,51.111,1540540,2.9,corona_board_kr
51,강원,2020-04-07,2,47,0,1,1,24,2.127659574,51.064,1540540,3.1,corona_board_kr
52,강원,2020-04-08,2,49,0,1,0,24,2.040816327,48.98,1540540,3.2,corona_board_kr
53,강원,2020-04-09,0,49,0,1,0,24,2.040816327,48.98,1540540,3.2,corona_board_kr
54,강원,2020-04-10,0,49,0,1,2,26,2.040816327,53.061,1540540,3.2,corona_board_kr
55,강원,2020-04-11,0,49,0,1,0,26,2.040816327,53.061,1540540,3.2,corona_board_kr
56,강원,2020-04-12,0,49,0,1,1,27,2.040816327,55.102,1540540,3.2,corona_board_kr
57,강원,2020-04-13,0,49,0,1,1,28,2.040816327,57.143,1540540,3.2,corona_board_kr
58,강원,2020-04-14,0,49,0,1,1,29,2.040816327,59.184,1540540,3.2,corona_board_kr
59,강원,2020-04-15,2,51,0,1,-2,27,1.960784314,52.941,1540540,3.3,corona_board_kr
60,강원,2020-04-16,1,52,0,1,0,27,1.923076923,51.923,1540540,3.4,corona_board_kr
61,강원,2020-04-17,0,52,0,1,1,28,1.923076923,53.846,1540540,3.4,corona_board_kr
62,강원,2020-04-18,1,53,0,1,0,28,1.886792453,52.83,1540540,3.4,corona_board_kr
63,강원,2020-04-19,0,53,1,2,0,28,3.773584906,52.83,1540540,3.4,corona_board_kr
64,강원,2020-04-20,0,53,0,2,0,28,3.773584906,52.83,1540540,3.4,corona_board_kr
65,강원,2020-04-21,0,53,0,2,2,30,3.773584906,56.604,1540540,3.4,corona_board_kr
66,강원,2020-04-22,0,53,0,2,1,31,3.773584906,58.491,1540540,3.4,corona_board_kr
67,강원,2020-04-23,0,53,0,2,0,31,3.773584906,58.491,1540540,3.4,corona_board_kr
68,강원,2020-04-24,0,53,0,2,0,31,3.773584906,58.491,1540540,3.4,corona_board_kr
69,강원,2020-04-25,0,53,0,2,1,32,3.773584906,60.377,1540540,3.4,corona_board_kr
70,강원,2020-04-26,0,53,0,2,2,34,3.773584906,64.151,1540540,3.4,corona_board_kr
71,강원,2020-04-27,0,53,0,2,1,35,3.773584906,66.038,1540540,3.4,corona_board_kr
72,강원,2020-04-28,0,53,0,2,2,37,3.773584906,69.811,1540540,3.4,corona_board_kr
73,강원,2020-04-29,0,53,0,2,0,37,3.773584906,69.811,1540540,3.4,corona_board_kr
74,강원,2020-04-30,0,53,0,2,3,40,3.773584906,75.472,1540540,3.4,corona_board_kr
75,강원,2020-05-01,0,53,0,2,0,40,3.773584906,75.472,1540540,3.4,corona_board_kr
76,강원,2020-05-02,0,53,0,2,2,42,3.773584906,79.245,1540540,3.4,corona_board_kr
77,강원,2020-05-03,0,53,0,2,1,43,3.773584906,81.132,1540540,3.4,corona_board_kr
78,강원,2020-05-04,0,53,0,2,-1,42,3.773584906,79.245,1540540,3.4,corona_board_kr
79,강원,2020-05-05,0,53,0,2,0,42,3.773584906,79.245,1540540,3.4,corona_board_kr
80,강원,2020-05-06,0,53,0,2,0,42,3.773584906,79.245,1540540,3.4,corona_board_kr
81,강원,2020-05-07,0,53,0,2,0,42,3.773584906,79.245,1540540,3.4,corona_board_kr
82,강원,2020-05-08,0,53,0,2,-1,41,3.773584906,77.358,1540540,3.4,corona_board_kr
83,강원,2020-05-09,0,53,0,2,0,41,3.773584906,77.358,1540540,3.4,corona_board_kr
84,강원,2020-05-10,0,53,0,2,0,41,3.773584906,77.358,1540540,3.4,corona_board_kr
85,강원,2020-05-11,1,54,0,2,0,41,3.703703704,75.926,1540540,3.5,corona_board_kr
86,강원,2020-05-12,0,54,0,2,0,41,3.703703704,75.926,1540540,3.5,corona_board_kr
87,강원,2020-05-13,0,54,0,2,1,42,3.703703704,77.778,1540540,3.5,corona_board_kr
88,강원,2020-05-14,1,55,0,2,1,43,3.636363636,78.182,1540540,3.6,corona_board_kr
89,강원,2020-05-15,0,55,0,2,1,44,3.636363636,80,1540540,3.6,corona_board_kr
90,강원,2020-05-16,0,55,0,2,1,45,3.636363636,81.818,1540540,3.6,corona_board_kr
91,강원,2020-05-17,0,55,0,2,0,45,3.636363636,81.818,1540540,3.6,corona_board_kr
92,강원,2020-05-18,0,55,0,2,1,46,3.636363636,83.636,1540540,3.6,corona_board_kr
93,강원,2020-05-19,0,55,0,2,0,46,3.636363636,83.636,1540540,3.6,corona_board_kr
94,강원,2020-05-20,0,55,0,2,1,47,3.636363636,85.455,1540540,3.6,corona_board_kr
95,강원,2020-05-21,0,55,0,2,0,47,3.636363636,85.455,1540540,3.6,corona_board_kr
96,강원,2020-05-22,0,55,0,2,0,47,3.636363636,85.455,1540540,3.6,corona_board_kr
97,강원,2020-05-23,0,55,0,2,0,47,3.636363636,85.455,1540540,3.6,corona_board_kr
98,강원,2020-05-24,1,56,0,2,0,47,3.571428571,83.929,1540540,3.6,corona_board_kr
99,강원,2020-05-25,0,56,0,2,1,48,3.571428571,85.714,1540540,3.6,corona_board_kr
100,강원,2020-05-26,0,56,1,3,0,48,5.357142857,85.714,1540540,3.6,corona_board_kr
101,강원,2020-05-27,0,56,0,3,0,48,5.357142857,85.714,1540540,3.6,corona_board_kr
102,강원,2020-05-28,0,56,0,3,1,49,5.357142857,87.5,1540540,3.6,corona_board_kr
103,강원,2020-05-29,0,56,0,3,1,50,5.357142857,89.286,1540540,3.6,corona_board_kr
104,강원,2020-05-30,1,57,0,3,0,50,5.263157895,87.719,1540540,3.7,corona_board_kr
105,강원,2020-05-31,0,57,0,3,0,50,5.263157895,87.719,1540540,3.7,corona_board_kr
106,강원,2020-06-01,0,57,0,3,0,50,5.263157895,87.719,1540540,3.7,corona_board_kr
107,강원,2020-06-02,0,57,0,3,1,51,5.263157895,89.474,1540540,3.7,corona_board_kr
108,강원,2020-06-03,0,57,0,3,0,51,5.263157895,89.474,1540540,3.7,corona_board_kr
109,강원,2020-06-04,0,57,0,3,0,51,5.263157895,89.474,1540540,3.7,corona_board_kr
110,강원,2020-06-05,0,57,0,3,0,51,5.263157895,89.474,1540540,3.7,corona_board_kr
111,강원,2020-06-06,1,58,0,3,0,51,5.172413793,87.931,1540540,3.8,corona_board_kr
112,강원,2020-06-07,0,58,0,3,0,51,5.172413793,87.931,1540540,3.8,corona_board_kr
113,강원,2020-06-08,0,58,0,3,0,51,5.172413793,87.931,1540540,3.8,corona_board_kr
114,강원,2020-06-09,0,58,0,3,0,51,5.172413793,87.931,1540540,3.8,corona_board_kr
115,강원,2020-06-10,1,59,0,3,0,51,5.084745763,86.441,1540540,3.8,corona_board_kr
116,강원,2020-06-11,0,59,0,3,0,51,5.084745763,86.441,1540540,3.8,corona_board_kr
117,강원,2020-06-12,0,59,0,3,1,52,5.084745763,88.136,1540540,3.8,corona_board_kr
118,강원,2020-06-13,0,59,0,3,0,52,5.084745763,88.136,1540540,3.8,corona_board_kr
119,강원,2020-06-14,1,60,0,3,0,52,5,86.667,1540540,3.9,corona_board_kr
120,강원,2020-06-15,0,60,0,3,0,52,5,86.667,1540540,3.9,corona_board_kr
121,강원,2020-06-16,0,60,0,3,0,52,5,86.667,1540540,3.9,corona_board_kr
122,강원,2020-06-17,0,60,0,3,0,52,5,86.667,1540540,3.9,corona_board_kr
123,강원,2020-06-18,0,60,0,3,0,52,5,86.667,1540540,3.9,corona_board_kr
124,강원,2020-06-19,0,60,0,3,0,52,5,86.667,1540540,3.9,corona_board_kr
125,강원,2020-06-20,0,60,0,3,0,52,5,86.667,1540540,3.9,corona_board_kr
126,강원,2020-06-21,2,62,0,3,0,52,4.838709677,83.871,1540540,4,corona_board_kr
127,강원,2020-06-22,0,62,0,3,0,52,4.838709677,83.871,1540540,4,corona_board_kr
128,강원,2020-06-23,0,62,0,3,0,52,4.838709677,83.871,1540540,4,corona_board_kr
129,강원,2020-06-24,1,63,0,3,0,52,4.761904762,82.54,1540540,4.1,corona_board_kr
130,강원,2020-06-25,0,63,0,3,0,52,4.761904762,82.54,1540540,4.1,corona_board_kr
131,강원,2020-06-26,1,64,0,3,0,52,4.6875,81.25,1540540,4.2,corona_board_kr
132,강원,2020-06-27,0,64,0,3,0,52,4.6875,81.25,1540540,4.2,corona_board_kr
133,강원,2020-06-28,0,64,0,3,1,53,4.6875,82.813,1540540,4.2,corona_board_kr
134,강원,2020-06-29,0,64,0,3,1,54,4.6875,84.375,1540540,4.2,corona_board_kr
135,강원,2020-06-30,1,65,0,3,0,54,4.615384615,83.077,1540540,4.2,corona_board_kr
136,강원,2020-07-01,0,65,0,3,1,55,4.615384615,84.615,1540540,4.2,corona_board_kr
137,강원,2020-07-02,0,65,0,3,0,55,4.615384615,84.615,1540540,4.2,corona_board_kr
138,강원,2020-07-03,0,65,0,3,0,55,4.615384615,84.615,1540540,4.2,corona_board_kr
139,강원,2020-07-04,0,65,0,3,0,55,4.615384615,84.615,1540540,4.2,corona_board_kr
140,강원,2020-07-05,1,66,0,3,0,55,4.545454545,83.333,1540540,4.3,corona_board_kr
141,강원,2020-07-06,1,67,0,3,0,55,4.47761194,82.09,1540540,4.3,corona_board_kr
142,강원,2020-07-07,0,67,0,3,0,55,4.47761194,82.09,1540540,4.3,corona_board_kr
143,강원,2020-07-08,0,67,0,3,0,55,4.47761194,82.09,1540540,4.3,corona_board_kr
144,강원,2020-07-09,0,67,0,3,1,56,4.47761194,83.582,1540540,4.3,corona_board_kr
145,강원,2020-07-10,0,67,0,3,0,56,4.47761194,83.582,1540540,4.3,corona_board_kr
146,강원,2020-07-11,0,67,0,3,0,56,4.47761194,83.582,1540540,4.3,corona_board_kr
147,강원,2020-07-12,0,67,0,3,1,57,4.47761194,85.075,1540540,4.3,corona_board_kr
148,강원,2020-07-13,2,69,0,3,0,57,4.347826087,82.609,1540540,4.5,corona_board_kr
149,강원,2020-07-14,0,69,0,3,0,57,4.347826087,82.609,1540540,4.5,corona_board_kr
150,강원,2020-07-15,0,69,0,3,1,58,4.347826087,84.058,1540540,4.5,corona_board_kr
151,강원,2020-07-16,3,72,0,3,0,58,4.166666667,80.556,1540540,4.7,corona_board_kr
152,강원,2020-07-17,0,72,0,3,0,58,4.166666667,80.556,1540540,4.7,corona_board_kr
153,강원,2020-07-18,0,72,0,3,0,58,4.166666667,80.556,1540540,4.7,corona_board_kr
154,강원,2020-07-19,0,72,0,3,0,58,4.166666667,80.556,1540540,4.7,corona_board_kr
155,강원,2020-07-20,0,72,0,3,0,58,4.166666667,80.556,1540540,4.7,corona_board_kr
156,강원,2020-07-21,0,72,0,3,0,58,4.166666667,80.556,1540540,4.7,corona_board_kr
157,강원,2020-07-22,0,72,0,3,1,59,4.166666667,81.944,1540540,4.7,corona_board_kr
158,강원,2020-07-23,0,72,0,3,0,59,4.166666667,81.944,1540540,4.7,corona_board_kr
159,강원,2020-07-24,0,72,0,3,1,60,4.166666667,83.333,1540540,4.7,corona_board_kr
160,강원,2020-07-25,0,72,0,3,2,62,4.166666667,86.111,1540540,4.7,corona_board_kr
161,강원,2020-07-26,0,72,0,3,2,64,4.166666667,88.889,1540540,4.7,corona_board_kr
162,강원,2020-07-27,0,72,0,3,0,64,4.166666667,88.889,1540540,4.7,corona_board_kr
163,강원,2020-07-28,0,72,0,3,0,64,4.166666667,88.889,1540540,4.7,corona_board_kr
164,강원,2020-07-29,0,72,0,3,1,65,4.166666667,90.278,1540540,4.7,corona_board_kr
165,강원,2020-07-30,0,72,0,3,0,65,4.166666667,90.278,1540540,4.7,corona_board_kr
166,강원,2020-07-31,2,74,0,3,0,67,4.054054054,90.541,1540540,4.8,corona_board_kr
167,강원,2020-08-01,0,74,0,3,0,67,4.054054054,90.541,1540540,4.8,corona_board_kr
168,강원,2020-08-02,0,74,0,3,0,67,4.054054054,90.541,1540540,4.8,corona_board_kr
169,강원,2020-08-03,0,74,0,3,0,67,4.054054054,90.541,1540540,4.8,corona_board_kr
170,강원,2020-08-04,0,74,0,3,0,67,4.054054054,90.541,1540540,4.8,corona_board_kr
171,강원,2020-08-05,1,75,0,3,1,68,4,90.667,1540540,4.9,corona_board_kr
172,강원,2020-08-06,2,77,0,3,0,68,3.896103896,88.312,1540540,5,corona_board_kr
173,강원,2020-08-07,0,77,0,3,0,68,3.896103896,88.312,1540540,5,corona_board_kr
174,강원,2020-08-08,0,77,0,3,0,68,3.896103896,88.312,1540540,5,corona_board_kr
175,강원,2020-08-09,0,77,0,3,0,68,3.896103896,88.312,1540540,5,corona_board_kr
176,강원,2020-08-10,0,77,0,3,0,68,3.896103896,88.312,1540540,5,corona_board_kr
177,강원,2020-08-11,0,77,0,3,0,68,3.896103896,88.312,1540540,5,corona_board_kr
178,강원,2020-08-12,0,77,0,3,0,68,3.896103896,88.312,1540540,5,corona_board_kr
179,강원,2020-08-13,0,77,0,3,2,70,3.896103896,90.909,1540540,5,corona_board_kr
180,강원,2020-08-14,1,78,0,3,0,70,3.846153846,89.744,1540540,5.1,corona_board_kr
181,강원,2020-08-15,3,81,0,3,2,72,3.703703704,88.889,1540540,5.3,corona_board_kr
182,강원,2020-08-16,0,81,0,3,0,72,3.703703704,88.889,1540540,5.3,corona_board_kr
183,강원,2020-08-17,1,82,0,3,0,72,3.658536585,87.805,1540540,5.3,corona_board_kr
184,강원,2020-08-18,2,84,0,3,0,72,3.571428571,85.714,1540540,5.5,corona_board_kr
185,강원,2020-08-19,6,90,0,3,2,74,3.333333333,82.222,1540540,5.8,corona_board_kr
186,강원,2020-08-20,5,95,0,3,0,74,3.157894737,77.895,1540540,6.2,corona_board_kr
187,강원,2020-08-21,9,104,0,3,0,74,2.884615385,71.154,1540540,6.8,corona_board_kr
188,강원,2020-08-22,16,120,0,3,0,74,2.5,61.667,1540540,7.8,corona_board_kr
189,강원,2020-08-23,15,135,0,3,0,74,2.222222222,54.815,1540540,8.8,corona_board_kr
190,강원,2020-08-24,6,141,0,3,0,74,2.127659574,52.482,1540540,9.2,corona_board_kr
191,강원,2020-08-25,8,149,0,3,0,74,2.013422819,49.664,1540540,9.7,corona_board_kr
192,강원,2020-08-26,18,167,0,3,3,77,1.796407186,46.108,1540540,10.8,corona_board_kr
193,강원,2020-08-27,14,181,0,3,1,78,1.657458564,43.094,1540540,11.7,corona_board_kr
194,강원,2020-08-28,3,184,0,3,0,78,1.630434783,42.391,1540540,11.9,corona_board_kr
195,강원,2020-08-29,0,184,0,3,0,78,1.630434783,42.391,1540540,11.9,corona_board_kr
196,강원,2020-08-30,2,186,0,3,3,81,1.612903226,43.548,1540540,12.1,corona_board_kr
197,강원,2020-08-31,3,189,0,3,0,81,1.587301587,42.857,1540540,12.3,corona_board_kr
198,경기,2020-02-18,0,11,0,0,2,6,0,54.545,13250368,0.1,corona_board_kr
199,경기,2020-02-19,1,12,0,0,0,6,0,50,13250368,0.1,corona_board_kr
200,경기,2020-02-20,0,12,0,0,0,6,0,50,13250368,0.1,corona_board_kr
201,경기,2020-02-21,2,14,0,0,0,6,0,42.857,13250368,0.1,corona_board_kr
202,경기,2020-02-22,6,20,0,0,1,7,0,35,13250368,0.2,corona_board_kr
203,경기,2020-02-23,4,24,0,0,0,7,0,29.167,13250368,0.2,corona_board_kr
204,경기,2020-02-24,11,35,0,0,2,9,0,25.714,13250368,0.3,corona_board_kr
205,경기,2020-02-25,7,42,0,0,0,9,0,21.429,13250368,0.3,corona_board_kr
206,경기,2020-02-26,9,51,1,1,0,9,1.960784314,17.647,13250368,0.4,corona_board_kr
207,경기,2020-02-27,11,62,0,1,0,9,1.612903226,14.516,13250368,0.5,corona_board_kr
208,경기,2020-02-28,10,72,0,1,0,9,1.388888889,12.5,13250368,0.5,corona_board_kr
209,경기,2020-02-29,10,82,0,1,0,9,1.219512195,10.976,13250368,0.6,corona_board_kr
210,경기,2020-03-01,7,89,0,1,-1,8,1.123595506,8.989,13250368,0.7,corona_board_kr
211,경기,2020-03-02,3,92,0,1,0,8,1.086956522,8.696,13250368,0.7,corona_board_kr
212,경기,2020-03-03,2,94,0,1,0,8,1.063829787,8.511,13250368,0.7,corona_board_kr
213,경기,2020-03-04,7,101,0,1,0,8,0.99009901,7.921,13250368,0.8,corona_board_kr
214,경기,2020-03-05,9,110,0,1,2,10,0.909090909,9.091,13250368,0.8,corona_board_kr
215,경기,2020-03-06,10,120,0,1,4,14,0.833333333,11.667,13250368,0.9,corona_board_kr
216,경기,2020-03-07,10,130,0,1,0,14,0.769230769,10.769,13250368,1,corona_board_kr
217,경기,2020-03-08,11,141,0,1,2,16,0.709219858,11.348,13250368,1.1,corona_board_kr
218,경기,2020-03-09,11,152,0,1,6,22,0.657894737,14.474,13250368,1.1,corona_board_kr
219,경기,2020-03-10,11,163,0,1,0,22,0.613496933,13.497,13250368,1.2,corona_board_kr
220,경기,2020-03-11,12,175,0,1,3,25,0.571428571,14.286,13250368,1.3,corona_board_kr
221,경기,2020-03-12,3,178,0,1,2,27,0.561797753,15.169,13250368,1.3,corona_board_kr
222,경기,2020-03-13,7,185,1,2,4,31,1.081081081,16.757,13250368,1.4,corona_board_kr
223,경기,2020-03-14,15,200,1,3,5,36,1.5,18,13250368,1.5,corona_board_kr
224,경기,2020-03-15,11,211,0,3,4,40,1.421800948,18.957,13250368,1.6,corona_board_kr
225,경기,2020-03-16,20,231,0,3,8,48,1.298701299,20.779,13250368,1.7,corona_board_kr
226,경기,2020-03-17,31,262,0,3,7,55,1.145038168,20.992,13250368,2,corona_board_kr
227,경기,2020-03-18,15,277,0,3,4,59,1.083032491,21.3,13250368,2.1,corona_board_kr
228,경기,2020-03-19,18,295,0,3,5,64,1.016949153,21.695,13250368,2.2,corona_board_kr
229,경기,2020-03-20,14,309,0,3,2,66,0.970873786,21.359,13250368,2.3,corona_board_kr
230,경기,2020-03-21,12,321,0,3,13,79,0.934579439,24.611,13250368,2.4,corona_board_kr
231,경기,2020-03-22,16,337,0,3,3,82,0.890207715,24.332,13250368,2.5,corona_board_kr
232,경기,2020-03-23,14,351,0,3,6,88,0.854700855,25.071,13250368,2.6,corona_board_kr
233,경기,2020-03-24,15,366,1,4,9,97,1.092896175,26.503,13250368,2.8,corona_board_kr
234,경기,2020-03-25,21,387,0,4,3,100,1.033591731,25.84,13250368,2.9,corona_board_kr
235,경기,2020-03-26,14,401,0,4,22,122,0.997506234,30.424,13250368,3,corona_board_kr
236,경기,2020-03-27,11,412,0,4,9,131,0.970873786,31.796,13250368,3.1,corona_board_kr
237,경기,2020-03-28,21,433,1,5,9,140,1.154734411,32.333,13250368,3.3,corona_board_kr
238,경기,2020-03-29,15,448,0,5,4,144,1.116071429,32.143,13250368,3.4,corona_board_kr
239,경기,2020-03-30,15,463,0,5,16,160,1.079913607,34.557,13250368,3.5,corona_board_kr
240,경기,2020-03-31,13,476,1,6,6,166,1.260504202,34.874,13250368,3.6,corona_board_kr
241,경기,2020-04-01,23,499,0,6,5,171,1.20240481,34.269,13250368,3.8,corona_board_kr
242,경기,2020-04-02,17,516,0,6,0,171,1.162790698,33.14,13250368,3.9,corona_board_kr
243,경기,2020-04-03,23,539,0,6,15,186,1.113172542,34.508,13250368,4.1,corona_board_kr
244,경기,2020-04-04,23,562,0,6,14,200,1.067615658,35.587,13250368,4.2,corona_board_kr
245,경기,2020-04-05,10,572,1,7,8,208,1.223776224,36.364,13250368,4.3,corona_board_kr
246,경기,2020-04-06,8,580,0,7,5,213,1.206896552,36.724,13250368,4.4,corona_board_kr
247,경기,2020-04-07,10,590,0,7,13,226,1.186440678,38.305,13250368,4.5,corona_board_kr
248,경기,2020-04-08,6,596,3,10,11,237,1.677852349,39.765,13250368,4.5,corona_board_kr
249,경기,2020-04-09,10,606,1,11,22,259,1.815181518,42.739,13250368,4.6,corona_board_kr
250,경기,2020-04-10,9,615,0,11,10,269,1.788617886,43.74,13250368,4.6,corona_board_kr
251,경기,2020-04-11,9,624,0,11,17,286,1.762820513,45.833,13250368,4.7,corona_board_kr
252,경기,2020-04-12,4,628,1,12,6,292,1.910828025,46.497,13250368,4.7,corona_board_kr
253,경기,2020-04-13,3,631,1,13,13,305,2.06022187,48.336,13250368,4.8,corona_board_kr
254,경기,2020-04-14,8,639,0,13,8,313,2.034428795,48.983,13250368,4.8,corona_board_kr
255,경기,2020-04-15,6,645,0,13,9,322,2.015503876,49.922,13250368,4.9,corona_board_kr
256,경기,2020-04-16,4,649,1,14,8,330,2.157164869,50.847,13250368,4.9,corona_board_kr
257,경기,2020-04-17,1,650,0,14,10,340,2.153846154,52.308,13250368,4.9,corona_board_kr
258,경기,2020-04-18,4,654,0,14,21,361,2.140672783,55.199,13250368,4.9,corona_board_kr
259,경기,2020-04-19,0,654,0,14,9,370,2.140672783,56.575,13250368,4.9,corona_board_kr
260,경기,2020-04-20,2,656,0,14,17,387,2.134146341,58.994,13250368,5,corona_board_kr
261,경기,2020-04-21,2,658,0,14,11,398,2.127659574,60.486,13250368,5,corona_board_kr
262,경기,2020-04-22,0,658,0,14,6,404,2.127659574,61.398,13250368,5,corona_board_kr
263,경기,2020-04-23,1,659,0,14,20,424,2.124430956,64.34,13250368,5,corona_board_kr
264,경기,2020-04-24,1,660,0,14,17,441,2.121212121,66.818,13250368,5,corona_board_kr
265,경기,2020-04-25,2,662,0,14,7,448,2.114803625,67.674,13250368,5,corona_board_kr
266,경기,2020-04-26,6,668,0,14,15,463,2.095808383,69.311,13250368,5,corona_board_kr
267,경기,2020-04-27,3,671,0,14,7,470,2.086438152,70.045,13250368,5.1,corona_board_kr
268,경기,2020-04-28,3,674,0,14,5,475,2.077151335,70.475,13250368,5.1,corona_board_kr
269,경기,2020-04-29,2,676,1,15,6,481,2.218934911,71.154,13250368,5.1,corona_board_kr
270,경기,2020-04-30,0,676,0,15,5,486,2.218934911,71.893,13250368,5.1,corona_board_kr
271,경기,2020-05-01,2,678,1,16,2,488,2.359882006,71.976,13250368,5.1,corona_board_kr
272,경기,2020-05-02,0,678,0,16,10,498,2.359882006,73.451,13250368,5.1,corona_board_kr
273,경기,2020-05-03,2,680,0,16,12,510,2.352941176,75,13250368,5.1,corona_board_kr
274,경기,2020-05-04,1,681,0,16,5,515,2.34948605,75.624,13250368,5.1,corona_board_kr
275,경기,2020-05-05,0,681,0,16,3,518,2.34948605,76.065,13250368,5.1,corona_board_kr
276,경기,2020-05-06,0,681,0,16,7,525,2.34948605,77.093,13250368,5.1,corona_board_kr
277,경기,2020-05-07,1,682,0,16,13,538,2.346041056,78.886,13250368,5.1,corona_board_kr
278,경기,2020-05-08,2,684,0,16,0,538,2.339181287,78.655,13250368,5.2,corona_board_kr
279,경기,2020-05-09,4,688,0,16,10,548,2.325581395,79.651,13250368,5.2,corona_board_kr
280,경기,2020-05-10,6,694,0,16,8,556,2.305475504,80.115,13250368,5.2,corona_board_kr
281,경기,2020-05-11,4,698,0,16,1,557,2.29226361,79.799,13250368,5.3,corona_board_kr
282,경기,2020-05-12,8,706,0,16,2,559,2.266288952,79.178,13250368,5.3,corona_board_kr
283,경기,2020-05-13,2,708,0,16,4,563,2.259887006,79.52,13250368,5.3,corona_board_kr
